title,url,image_url,scraped_at
'Incredibly devastating for so many people',https://news.sky.com/video/death-of-diogo-jota-in-car-crash-will-affect-so-many-13391762,https://e3.365dm.com/25/07/384x288/image_6956002.jpg?20250703094315,2025-07-04 10:19:25.277930
Stowaway snake grounds plane,https://news.sky.com/video/snake-captured-on-australian-flight-13391256,https://e3.365dm.com/25/07/384x288/skynews-snake-plane_6954976.jpg?20250702044044,2025-07-04 10:19:25.278092
Trump threatens to 'put DOGE' on Musk,https://news.sky.com/video/donald-trump-threatens-to-put-doge-on-elon-musk-13391046,https://e3.365dm.com/25/07/384x288/skynews-donald-trump-white-house_6954449.jpg?20250701130020,2025-07-04 10:19:25.278260
Gaza deaths increase when aid sites open,https://news.sky.com/video/gaza-deaths-increase-when-ghf-aid-sites-open-13391596,https://e3.365dm.com/25/07/384x288/skynews-cheshire-gaza-data_6955731.jpg?20250702185450,2025-07-04 10:19:25.278626
NHS plans too ambitious?,https://news.sky.com/video/nhs-10-year-plan-is-the-government-overly-ambitious-13392061,https://e3.365dm.com/25/07/384x288/image_6956557.jpg?20250703184605,2025-07-04 10:19:25.278785
How the Diddy trial unfolded,https://news.sky.com/video/how-did-the-sean-diddy-combs-trial-unfold-13391562,https://e3.365dm.com/25/05/384x288/skynews-p-diddy-sean-combs_6921159.jpg?20250702173204,2025-07-04 10:19:25.279063
How is a new Dalai Lama chosen?,https://news.sky.com/video/dalai-lama-says-he-plans-to-reincarnate-but-how-is-a-successor-chosen-and-why-is-it-controversial-13391597,https://e3.365dm.com/25/03/384x288/skynews-dalai-lama-tibet-china_6852885.jpg?20250702190445,2025-07-04 10:19:25.279344
"What's inside Trump's 'big, beautiful bill'?",https://news.sky.com/video/whats-inside-donald-trumps-big-beautiful-bill-13391216,https://e3.365dm.com/25/07/384x288/skynews-donald-trump-bill_6954962.jpg?20250702020133,2025-07-04 10:19:25.279505
Who is being targeted in Trump's immigration raids?,https://news.sky.com/video/who-is-being-targeted-in-donald-trumps-immigration-raids-13391301,https://e3.365dm.com/25/07/384x288/skynews-mark-stone-ice-immigration-raids_6954845.jpg?20250701204441,2025-07-04 10:19:25.279670
Diddy trial: Jury reaches verdict on several counts,https://news.sky.com/video/jury-reaches-verdict-on-several-counts-in-diddy-trial-13391207,https://e3.365dm.com/25/06/384x288/skynews-martha-kelner-sean-combs_6954009.jpg?20250630185024,2025-07-04 10:19:25.279948
